iter	RMSE
0	0.6762328633
1	0.6757770423
2	0.6753381539
3	0.674885506
4	0.6744410371
5	0.6740181218
66	0.677841477777	0.677399284188	0.6769722173
9	0.6765490099110	0.676110545
11	0.6757061045
12	0.6752703373113	0.674832097
14	0.6743847608
15	0.6739557622
16	0.6735273277
17	0.6731123414
18	0.6726909611
19	0.672269578
20	0.6718398313
21	0.6714091743
22	0.6709916606
23	0.670567742
24	0.6701509563
25	0.6697236165
26	0.6692894786
27	0.668860009
28	0.6684312919
29	0.6680036682
30	0.6675797596
31	0.6671783786
32	0.66676273
33	0.6663271957
34	0.6659119452
35	0.6655160015
36	0.6650846536
37	0.6646552739
38	0.6642484282
39	0.6638297513
40	0.6634339962
41	0.6630143601
42	0.6625965587
43	0.6621958819
44	0.6617746654
45	0.6613530932
46	0.6609251331
47	0.6605014122
48	0.6601000661
49	0.659687833
50	0.659269386
51	0.6588603431
52	0.6584580371
53	0.6580397488
54	0.6576170809
55	0.6572301329
56	0.6568222931
57	0.6564261289
58	0.6560140161
59	0.6555993991
60	0.6551922076
61	0.6547779283
62	0.65437868
63	0.6539744196
64	0.6535626363
65	0.6531487546
66	0.6527451247
67	0.6523402068
68	0.6519344272
69	0.6515256712
70	0.6511180811
71	0.6507136305
72	0.6503052714
73	0.6499040969
74	0.649493872
75	0.649102841
76	0.6487103621
77	0.6483169551
78	0.647913539
563
79	0.6430776216
80	0.6427007241
81	0.6423051269
82	0.6419080548
83	0.6415045396
84	0.6411030486
85	0.640701796
86	0.6402994017
87	0.6399044065
88	0.6395087265
89	0.6391086123
90	0.6387139218
91	0.6383180814
9701
92	0.6437756423
93	0.6433696496
94	0.6429890698
95	0.6425928537
96	0.6422166681
97	0.6418261667
98	0.641446048
99	0.6410621588
100	0.6406703931
101	0.6402717869
102	0.6398805684
103	0.6394943619
	0.3488404828
105	0.3487296217
106	0.3482726225
107	0.3479492086
108	0.347768601
109	0.3474426108
110	0.3472411887
111	0.3471543545
112	0.3468027395
113	0.3466155378
114	0.3462115555
