iter	Passed	Remaining
0	11	3459
1	22	3390
2	72	7147
3	84	6273
4	93	5541
5	122	6024
6	26	340	147	227	355	18	2388	371	12012
9	38010	321	10	4411	334	811	412	351	7712	13	405	82713	555	11357
14	566	10763
15	646	11471
16	659	10986
17	686	10760
18	854	12633
19	857	12006
20	866	11518
21	875	11060
22	884	10651
23	952	10948
24	962	10588
25	972	10251
26	1049	10613
27	1058	10282
28	1068	9982
29	1070	9635
30	1078	9361
31	1087	9104
32	1135	9189
33	1182	9251
34	1191	9019
35	1231	9033
36	1239	8813
37	1284	8859
38	1293	8655
39	1301	8462
40	1311	8282
41	1348	8282
42	1355	8103
43	1366	7948
44	1378	7813
45	1390	7678
46	1409	7585
47	1418	7448
48	1427	7313
49	1433	7167
50	1477	7213
51	1486	7088
52	1496	6975
53	1500	6836
54	1512	6739
55	1543	6727
56	1552	6618
57	1563	6521
58	1566	6397
59	1575	6300
60	1601	6273
61	1610	6183
62	1619	6091
63	1632	6019
64	1644	5945
65	1653	5863
66	1662	5782
67	1702	5807
68	1711	5728
69	1718	5648
70	1739	5610
71	1747	5535
72	1752	5449
73	1761	5380
74	1779	5337
75	1790	5276
76	1800	5214
77	1808	5148
78	1822	5099
7
82	1584	4143
83	1597	4107
84	1622	4104
85	1634	4067
86	1642	4021
87	1654	3986
88	1668	3954
89	1678	3917
90	1686	3873
91	1695	3833
57
93	1786	3914
94	1789	3861
95	1797	3820
96	1804	3775
97	1819	3749
98	1827	3710
99	1837	3675
100	1846	3637
101	1854	3599
102	1871	3580
103	1882	3547
86
104	1911	3550
105	1938	3548
106	1947	3512
107	1956	3478
108	1975	3462
109	1985	3429
110	1995	3397
111	2004	3365
112	2016	3336
113	2026	3305
114	2036	3275
