iter	RMSE
0	0.3833334859
1	0.3728556653
2	0.3638524797
3	0.3556963747
4	0.3484027358
5	0.3420609999
6	0.3364280115
7	0.3316037539
8	0.3268834257
9	0.3231721917
10	0.3192615938
11	0.3158272592
12	0.3131098788
13	0.3105894526
14	0.308115433
15	0.3058773418
16	0.3038893016
17	0.3022327491
18	0.3004617077
19	0.2990561755
20	0.2977219026
21	0.2964205009
22	0.2954320972
23	0.2945600476
24	0.2936006759
25	0.2927481437
26	0.291890637
27	0.2912802646
28	0.2906856627
29	0.2899784671
30	0.2893199389
31	0.2889664078
32	0.288263605
33	0.2878351522
34	0.2872795215
35	0.2868096507
36	0.2863503726
37	0.2859262561
38	0.2855718134
39	0.2851614867
40	0.28484286
41	0.2845681961
42	0.2842402101
43	0.2839623495
44	0.2836544003
45	0.2833343351
46	0.283091591
47	0.2828528104
48	0.2825274877
49	0.2823094967
50	0.2819934472
51	0.2817105135
52	0.2814709441
53	0.2812000188
54	0.2810002212
55	0.2807921268
56	0.280573194
57	0.2803976706
58	0.280176704
59	0.280007392
60	0.2797929262
61	0.279615311
62	0.2794385462
63	0.2790683839
64	0.2788368978
65	0.2785829442
66	0.2783424526
67	0.2780953049
68	0.2779210011
69	0.277682202
70	0.2774984592
71	0.2773007029
72	0.2771401778
73	0.2769777904
74	0.2768186096
75	0.2766043013
76	0.2764191307
77	0.2761832446
78	0.2759782069
79	0.2758462437
80	0.2757048483
81	0.2755667817
82	0.2752878453
83	0.2750584417
84	0.2749226636
85	0.2747128717
86	0.2745852168
87	0.2743837149
88	0.2742279266
89	0.2740662999
90	0.2739261691
91	0.2737255509
92	0.2735949816
93	0.2734861313
94	0.2733661841
95	0.2732432276
96	0.2730691006
97	0.2729129742
98	0.2726762573
99	0.2725627459
100	0.2724177948
101	0.272284607
102	0.2721262866
103	0.2720039064
104	0.2718223643
105	0.2716383908
106	0.2714808842
107	0.2713784914
108	0.2712704837
109	0.2711510458
110	0.271054262
111	0.2709804483
112	0.2707986148
113	0.270642373
114	0.2705066833
115	0.2703082972
116	0.2702337316
117	0.2700581654
118	0.269949741
119	0.2698845861
120	0.2697366504
121	0.2696110958
122	0.269475688
123	0.269219551
124	0.2690964497
125	0.2689163276
126	0.2687731468
127	0.268627136
128	0.2684999432
129	0.268358154
130	0.2682137427
131	0.2680541041
132	0.2678817086
133	0.2677750834
134	0.2676378699
135	0.2675616637
136	0.2674030959
137	0.2673064424
138	0.2670949404
139	0.2669184017
140	0.2667982176
141	0.2666595275
142	0.2664990315
143	0.2664104336
144	0.2662873037
145	0.2661920575
146	0.2660673476
147	0.2659887085
148	0.2658720044
149	0.2656761848
150	0.2654425359
151	0.2653386636
152	0.2652322191
153	0.2650779704
154	0.2649842783
155	0.2648507486
156	0.264771815
157	0.2646894113
158	0.2645420192
159	0.264472267
160	0.2643104329
161	0.2642397469
162	0.2641227466
163	0.2639971062
164	0.2637752948
165	0.263688707
166	0.2634889154
167	0.2633913965
168	0.263257081
169	0.263182768
170	0.2630077824
171	0.2628722538
172	0.2627293649
173	0.2626087934
174	0.2624418052
175	0.2623700309
176	0.2622955929
177	0.2621810949
178	0.2620543268
179	0.2619552174
180	0.2618541399
181	0.2617695151
182	0.2616826226
183	0.261575489
184	0.2615102994
185	0.2614047225
186	0.2613389662
187	0.2611595511
188	0.2610612924
189	0.2609152653
190	0.2608275294
191	0.2607357203
192	0.2606738018
193	0.2605249966
194	0.2604375188
195	0.2603281469
196	0.2602340883
