iter	Passed	Remaining
0	217	217325
1	245	122728
2	262	87378
3	275	68616
4	286	57045
5	297	49204
6	307	43629
7	320	39770
8	332	36657
9	343	34020
10	354	31910
11	377	31044
12	389	29549
13	400	28211
14	412	27097
15	423	26040
16	434	25109
17	446	24344
18	458	23666
19	469	23007
20	481	22456
21	494	21960
22	505	21465
23	515	20954
24	525	20480
25	535	20048
26	545	19646
27	557	19347
28	568	19035
29	579	18727
30	590	18442
31	601	18183
32	618	18136
33	634	18024
34	648	17874
35	668	17889
36	684	17804
37	698	17685
38	711	17537
39	724	17394
40	737	17247
41	749	17088
42	763	17002
43	775	16851
44	786	16698
45	797	16546
46	808	16397
47	818	16241
48	828	16088
49	838	15935
50	848	15796
51	859	15666
52	870	15552
53	880	15425
54	890	15295
55	900	15178
56	911	15081
57	921	14972
58	932	14869
59	943	14783
60	954	14693
61	964	14598
62	976	14523
63	988	14451
64	999	14380
65	1010	14306
66	1023	14254
67	1039	14240
68	1049	14161
69	1062	14110
70	1073	14040
71	1085	13988
72	1097	13942
73	1110	13893
74	1122	13847
75	1134	13789
76	1144	13720
77	1155	13664
78	1168	13617
79	1180	13577
80	1192	13529
81	1203	13473
82	1214	13417
83	1224	13354
84	1234	13290
85	1244	13226
86	1254	13169
87	1265	13114
88	1275	13059
89	1286	13008
90	1296	12953
91	1306	12899
92	1318	12854
93	1328	12801
94	1338	12750
95	1348	12696
96	1358	12649
97	1368	12597
98	1378	12547
99	1390	12512
100	1402	12486
101	1417	12481
102	1431	12467
103	1449	12489
104	1465	12487
105	1476	12452
106	1489	12434
107	1505	12434
108	1519	12419
109	1533	12407
110	1546	12384
111	1558	12353
112	1574	12358
113	1587	12338
114	1601	12322
115	1619	12338
116	1636	12347
117	1655	12375
118	1672	12382
119	1690	12394
120	1706	12397
121	1725	12417
122	1742	12421
123	1752	12379
124	1762	12337
125	1772	12295
126	1782	12253
127	1792	12213
128	1803	12176
129	1813	12137
130	1824	12102
131	1838	12089
132	1852	12077
133	1868	12077
134	1882	12063
135	1897	12055
136	1910	12035
137	1923	12012
138	1933	11977
139	1943	11940
140	1954	11906
141	1965	11876
142	1977	11848
143	1987	11816
144	1997	11779
145	2006	11738
146	2016	11702
147	2026	11665
148	2036	11629
149	2045	11593
150	2056	11562
151	2067	11533
152	2078	11505
153	2088	11473
154	2098	11441
155	2108	11410
156	2118	11375
157	2128	11340
158	2137	11307
159	2147	11272
160	2157	11241
161	2168	11215
162	2178	11188
163	2189	11162
164	2200	11136
165	2210	11105
166	2220	11077
167	2230	11048
168	2240	11018
169	2251	10991
170	2261	10964
171	2271	10936
172	2284	10920
173	2295	10899
174	2306	10871
175	2315	10841
176	2325	10814
177	2335	10785
178	2346	10764
179	2360	10751
180	2374	10744
181	2387	10730
182	2402	10727
183	2416	10716
184	2429	10702
185	2441	10685
186	2453	10668
187	2466	10651
188	2478	10637
189	2491	10622
190	2505	10610
191	2519	10601
192	2530	10582
193	2543	10568
194	2555	10551
195	2568	10534
196	2582	10524
197	2594	10510
198	2607	10496
199	2621	10487
200	2634	10472
201	2646	10453
202	2660	10445
203	2677	10446
204	2692	10443
205	2707	10434
206	2726	10446
207	2741	10440
208	2756	10432
209	2779	10455
210	2794	10448
211	2812	10452
212	2827	10446
213	2841	10434
214	2854	10421
215	2869	10414
216	2883	10405
217	2899	10402
218	2918	10409
219	2935	10406
220	2949	10395
221	2961	10380
222	2975	10369
223	2991	10362
224	3007	10359
225	3025	10362
226	3042	10360
227	3056	10349
228	3068	10332
229	3081	10317
230	3094	10303
231	3108	10288
232	3121	10276
233	3138	10275
234	3153	10266
235	3169	10259
236	3184	10251
237	3196	10234
238	3209	10219
239	3221	10201
240	3231	10178
241	3241	10153
242	3252	10132
243	3264	10114
244	3274	10091
245	3284	10068
246	3295	10045
247	3304	10021
248	3316	10002
249	3326	9978
250	3336	9956
251	3349	9941
252	3364	9932
253	3376	9916
254	3388	9900
255	3399	9878
256	3409	9857
257	3422	9843
258	3435	9829
259	3445	9807
260	3458	9791
261	3468	9771
262	3479	9749
263	3490	9732
264	3501	9711
265	3511	9690
266	3521	9666
267	3531	9644
268	3541	9624
269	3551	9602
270	3561	9581
271	3573	9565
272	3583	9543
273	3594	9525
274	3604	9504
275	3616	9486
276	3627	9467
277	3637	9447
278	3647	9426
279	3660	9413
280	3674	9401
281	3691	9398
282	3714	9411
283	3729	9402
284	3743	9391
285	3761	9391
286	3778	9385
287	3795	9382
288	3812	9379
289	3826	9367
290	3839	9355
291	3854	9344
292	3868	9335
293	3883	9325
294	3899	9317
295	3913	9307
296	3934	9312
297	3950	9305
298	3969	9306
299	3985	9298
300	3998	9286
301	4017	9286
302	4028	9267
303	4039	9248
304	4049	9227
305	4061	9211
306	4072	9192
307	4082	9172
308	4092	9151
309	4104	9135
310	4116	9119
311	4127	9100
312	4138	9083
313	4149	9065
314	4160	9046
315	4170	9027
316	4181	9009
317	4191	8989
318	4202	8971
319	4212	8951
320	4225	8937
321	4236	8919
322	4249	8906
323	4260	8889
324	4271	8871
325	4285	8859
326	4296	8843
327	4307	8824
328	4317	8806
329	4329	8790
330	4340	8773
331	4350	8753
332	4361	8735
333	4372	8718
334	4385	8704
335	4397	8689
336	4409	8675
337	4420	8657
338	4434	8645
339	4446	8631
340	4458	8615
341	4470	8601
342	4485	8590
343	4498	8577
344	4511	8564
345	4521	8546
346	4532	8528
347	4542	8510
348	4555	8496
349	4565	8478
350	4575	8460
351	4585	8442
352	4597	8425
353	4611	8415
354	4622	8398
355	4632	8380
356	4644	8365
357	4656	8351
358	4670	8339
359	4681	8322
360	4694	8310
361	4708	8297
362	4722	8287
363	4736	8276
364	4753	8270
365	4767	8259
366	4779	8244
367	4797	8239
368	4819	8241
369	4833	8230
370	4854	8230
371	4875	8230
372	4896	8230
373	4914	8226
374	4933	8222
375	4951	8218
376	4968	8210
377	4987	8206
378	5003	8198
379	5016	8185
380	5030	8173
381	5043	8158
382	5056	8145
383	5069	8132
384	5085	8123
385	5098	8109
386	5110	8095
387	5122	8079
388	5134	8065
389	5147	8050
390	5159	8036
391	5172	8022
392	5186	8011
393	5201	8000
394	5215	7987
395	5230	7977
396	5242	7962
397	5254	7947
398	5267	7934
399	5282	7923
400	5297	7913
401	5316	7909
402	5335	7903
403	5350	7893
404	5369	7889
405	5394	7892
406	5412	7886
407	5435	7886
408	5449	7874
409	5461	7859
410	5475	7847
411	5490	7836
412	5506	7825
413	5520	7814
414	5532	7799
415	5546	7785
416	5566	7782
417	5587	7779
418	5603	7770
419	5616	7756
420	5632	7746
421	5645	7732
422	5660	7721
423	5679	7716
424	5691	7700
425	5701	7682
426	5711	7664
427	5722	7647
428	5731	7629
429	5744	7614
430	5757	7601
431	5772	7589
432	5788	7579
433	5800	7565
434	5814	7552
435	5885	7613
436	5923	7631
437	5977	7669
438	6034	7712
439	6117	7785
440	6193	7850
441	6226	7860
442	6264	7876
443	6295	7883
444	6328	7892
445	6351	7889
446	6364	7874
447	6380	7861
448	6396	7849
449	6411	7835
450	6426	7822
451	6440	7808
452	6455	7794
453	6474	7787
454	6490	7774
455	6506	7761
456	6521	7748
457	6536	7735
458	6547	7717
459	6565	7707
460	6577	7690
461	6589	7674
462	6601	7657
463	6613	7639
464	6624	7621
465	6636	7604
466	6646	7586
467	6657	7567
468	6669	7550
469	6680	7533
470	6690	7514
471	6702	7497
472	6715	7482
473	6728	7466
474	6741	7450
475	6755	7436
476	6769	7422
477	6784	7409
478	6800	7396
479	6817	7386
480	6833	7372
481	6847	7358
482	6861	7344
483	6874	7328
484	6888	7314
485	6905	7303
486	6919	7289
487	6937	7278
488	6952	7264
489	6966	7250
490	6981	7237
491	6997	7224
492	7014	7213
493	7030	7201
494	7048	7190
495	7066	7180
496	7088	7173
497	7112	7169
498	7131	7159
499	7154	7154
500	7179	7150
501	7202	7144
502	7223	7137
503	7244	7129
504	7262	7118
505	7281	7108
506	7297	7095
507	7315	7084
508	7331	7072
509	7347	7059
510	7362	7045
511	7377	7031
512	7393	7018
513	7408	7004
514	7423	6991
515	7439	6978
516	7454	6964
517	7471	6952
518	7489	6941
519	7505	6927
520	7520	6914
521	7537	6902
522	7555	6890
523	7573	6879
524	7589	6867
525	7607	6855
526	7626	6845
527	7643	6833
528	7659	6819
529	7674	6805
530	7688	6790
531	7701	6774
532	7715	6759
533	7725	6741
534	7737	6725
535	7748	6707
536	7759	6690
537	7773	6675
538	7784	6658
539	7795	6641
540	7806	6623
541	7819	6607
542	7833	6592
543	7844	6575
544	7854	6557
545	7866	6540
546	7878	6524
547	7889	6507
548	7901	6491
549	7914	6475
550	7929	6461
551	7940	6444
552	7952	6428
553	7965	6412
554	7976	6395
555	7987	6378
556	8000	6362
557	8013	6347
558	8026	6332
559	8040	6317
560	8052	6301
561	8066	6287
562	8079	6271
563	8090	6254
564	8102	6238
565	8114	6222
566	8126	6206
567	8139	6190
568	8151	6174
569	8164	6159
570	8177	6143
571	8191	6129
572	8204	6113
573	8216	6097
574	8226	6080
575	8238	6064
576	8249	6047
577	8258	6029
578	8270	6013
579	8282	5997
580	8294	5981
581	8306	5965
582	8318	5950
583	8329	5933
584	8341	5917
585	8355	5903
586	8366	5886
587	8379	5871
588	8393	5856
589	8404	5840
590	8417	5825
591	8427	5807
592	8438	5791
593	8451	5776
594	8462	5760
595	8473	5743
596	8485	5728
597	8497	5712
598	8507	5695
599	8518	5679
600	8528	5662
601	8542	5648
602	8558	5634
603	8574	5621
604	8594	5611
605	8607	5596
606	8622	5582
607	8640	5570
608	8653	5556
609	8669	5542
610	8684	5528
611	8697	5514
612	8710	5498
613	8724	5484
614	8737	5469
615	8749	5454
616	8762	5439
617	8781	5427
618	8796	5414
619	8810	5399
620	8823	5385
621	8835	5369
622	8849	5355
623	8859	5338
624	8878	5327
625	8889	5310
626	8899	5294
627	8909	5277
628	8919	5260
629	8930	5244
630	8941	5228
631	8954	5214
632	8967	5199
633	8986	5187
634	9003	5175
635	9020	5162
636	9042	5152
637	9059	5140
638	9073	5125
639	9087	5111
640	9103	5098
641	9117	5084
642	9130	5069
643	9143	5054
644	9157	5040
645	9179	5030
646	9194	5016
647	9219	5008
648	9233	4993
649	9247	4979
650	9261	4965
651	9276	4951
652	9300	4942
653	9317	4929
654	9340	4919
655	9365	4910
656	9384	4899
657	9397	4884
658	9411	4870
659	9429	4857
660	9444	4843
661	9458	4829
662	9472	4814
663	9489	4802
664	9503	4787
665	9516	4772
666	9532	4759
667	9546	4744
668	9558	4729
669	9572	4714
670	9586	4700
671	9600	4685
672	9613	4671
673	9631	4658
674	9643	4643
675	9660	4629
676	9681	4619
677	9694	4604
678	9707	4589
679	9725	4576
680	9744	4564
681	9761	4551
682	9779	4538
683	9792	4523
684	9805	4509
685	9820	4495
686	9834	4480
687	9848	4466
688	9862	4451
689	9875	4436
690	9892	4423
691	9903	4407
692	9912	4391
693	9922	4375
694	9935	4360
695	9949	4345
696	9963	4331
697	9974	4315
698	9989	4301
699	10003	4287
700	10017	4272
701	10032	4258
702	10044	4243
703	10056	4228
704	10067	4212
705	10079	4197
706	10091	4182
707	10102	4166
708	10113	4150
709	10124	4135
710	10134	4119
711	10146	4104
712	10159	4089
713	10189	4081
714	10203	4067
715	10213	4051
716	10224	4035
717	10234	4019
718	10247	4004
719	10258	3989
720	10268	3973
721	10278	3957
722	10291	3942
723	10301	3927
724	10314	3912
725	10324	3896
726	10334	3880
727	10345	3865
728	10355	3849
729	10368	3835
730	10379	3819
731	10391	3804
732	10402	3789
733	10413	3773
734	10424	3758
735	10436	3743
736	10450	3729
737	10464	3715
738	10481	3701
739	10495	3687
740	10510	3673
741	10524	3659
742	10538	3645
743	10551	3630
744	10564	3616
745	10577	3601
746	10594	3588
747	10607	3573
748	10620	3559
749	10641	3547
750	10655	3533
751	10669	3518
752	10682	3504
753	10704	3492
754	10718	3478
755	10732	3464
756	10746	3449
757	10760	3435
758	10775	3421
759	10789	3407
760	10806	3393
761	10820	3379
762	10834	3365
763	10847	3350
764	10861	3336
765	10875	3322
766	10888	3307
767	10910	3295
768	10927	3282
769	10941	3268
770	10954	3253
771	10967	3239
772	10982	3225
773	10994	3210
774	11007	3195
775	11020	3181
776	11038	3167
777	11050	3153
778	11063	3138
779	11077	3124
780	11093	3110
781	11116	3098
782	11132	3085
783	11147	3071
784	11161	3056
785	11174	3042
786	11184	3027
787	11202	3013
788	11212	2998
789	11222	2983
790	11232	2967
791	11244	2953
792	11255	2938
793	11265	2922
794	11276	2907
795	11286	2892
796	11296	2877
797	11306	2862
798	11316	2846
799	11326	2831
800	11338	2816
801	11351	2802
802	11361	2787
803	11371	2772
804	11382	2757
805	11393	2742
806	11404	2727
807	11414	2712
808	11425	2697
809	11435	2682
810	11446	2667
811	11458	2652
812	11468	2637
813	11477	2622
814	11491	2608
815	11500	2593
816	11510	2578
817	11520	2563
818	11530	2548
819	11541	2533
820	11552	2518
821	11562	2503
822	11575	2489
823	11586	2474
824	11596	2459
825	11606	2444
826	11616	2430
827	11627	2415
828	11637	2400
829	11648	2385
830	11658	2371
831	11668	2356
832	11682	2342
833	11692	2327
834	11703	2312
835	11713	2297
836	11724	2283
837	11735	2268
838	11745	2253
839	11755	2239
840	11766	2224
841	11775	2209
842	11788	2195
843	11799	2181
844	11810	2166
845	11819	2151
846	11829	2136
847	11840	2122
848	11850	2107
849	11862	2093
850	11874	2079
851	11888	2065
852	11906	2051
853	11921	2038
854	11935	2024
855	11948	2010
856	11963	1996
857	11976	1982
858	11989	1968
859	12004	1954
860	12020	1940
861	12034	1926
862	12048	1912
863	12062	1898
864	12075	1884
865	12088	1870
866	12100	1856
867	12113	1842
868	12127	1828
869	12142	1814
870	12155	1800
871	12167	1786
872	12181	1772
873	12194	1758
874	12208	1744
875	12223	1730
876	12239	1716
877	12254	1702
878	12267	1688
879	12281	1674
880	12297	1661
881	12311	1647
882	12324	1633
883	12339	1619
884	12353	1605
885	12367	1591
886	12382	1577
887	12397	1563
888	12410	1549
889	12424	1535
890	12441	1521
891	12454	1507
892	12467	1493
893	12481	1479
894	12496	1466
895	12509	1451
896	12522	1437
897	12538	1424
898	12553	1410
899	12567	1396
900	12581	1382
901	12593	1368
902	12606	1354
903	12620	1340
904	12633	1326
905	12649	1312
906	12664	1298
907	12677	1284
908	12693	1270
909	12707	1256
910	12721	1242
911	12734	1228
912	12747	1214
913	12760	1200
914	12770	1186
915	12781	1172
916	12791	1157
917	12802	1143
918	12812	1129
919	12822	1115
920	12832	1100
921	12843	1086
922	12856	1072
923	12866	1058
924	12876	1044
925	12887	1029
926	12899	1015
927	12910	1001
928	12920	987
929	12930	973
930	12942	959
931	12954	945
932	12965	931
933	12976	916
934	12986	902
935	12996	888
936	13007	874
937	13017	860
938	13027	846
939	13039	832
940	13050	818
941	13061	804
942	13073	790
943	13084	776
944	13094	762
945	13105	748
946	13115	734
947	13125	719
948	13136	705
949	13147	691
950	13158	678
951	13178	664
952	13192	650
953	13206	636
954	13230	623
955	13243	609
956	13256	595
957	13276	582
958	13289	568
959	13306	554
960	13325	540
961	13340	526
962	13354	513
963	13369	499
964	13385	485
965	13399	471
966	13413	457
967	13427	443
968	13444	430
969	13458	416
970	13473	402
971	13487	388
972	13504	374
